net,length_um
_03236_,141.22µm
_03255_,141.005µm
u_FIR.w\[6\]\[4\],140.77µm
net630,140.68µm
net715,140.44µm
net754,140.415µm
net671,140.23µm
_03567_,139.99µm
_02755_,139.95µm
_07818_,139.88µm
_03539_,139.83µm
u_FIR.w\[3\]\[0\],139.64µm
_04643_,139.46µm
net937,139.425µm
_02848_,139.27µm
net914,139.255µm
_03456_,139.21µm
net987,139.075µm
clknet_leaf_80_clkA,138.64µm
net587,138.54µm
_03061_,138.42µm
_06587_,138.32µm
net656,138.175µm
_09093_,138.12µm
net780,138.015µm
net323,137.875µm
coeff_force_packed\[50\],137.82µm
net533,137.755µm
_03435_,137.72µm
u_LMS.x_r\[1\]\[7\],137.53µm
net514,137.465µm
net132,137.045µm
net1035,136.955µm
net647,136.895µm
net427,136.715µm
clknet_3_7__leaf_spi_sclk,136.505µm
net524,136.405µm
u_LMS.w\[4\]\[14\],136.11µm
_10177_,136.09µm
net641,135.895µm
net566,135.825µm
net330,135.685µm
net643,135.68µm
_03069_,135.62µm
_07872_,135.455µm
_07777_,135.13µm
_03496_,135.12µm
net757,134.975µm
net965,134.85µm
_07838_,134.79µm
net889,134.415µm
_07816_,134.345µm
_03436_,134.06µm
_03065_,133.985µm
net24,133.965µm
net996,133.915µm
_06586_,133.875µm
u_LMS.x_r\[5\]\[7\],133.58µm
clknet_leaf_2_clkA,133.3µm
u_LMS.x_r\[3\]\[6\],133.15µm
net706,132.98µm
net440,132.93µm
net392,132.91µm
clknet_leaf_39_clkA,132.54µm
u_LMS.x_r\[4\]\[4\],132.5µm
_03575_,132.435µm
net325,132.325µm
net695,132.225µm
net998,132.13µm
_07967_,132.115µm
_03467_,131.89µm
coeff_force_packed\[29\],131.815µm
clknet_leaf_11_clkA,131.72µm
net867,131.555µm
coeff_force_packed\[18\],131.545µm
_04540_,131.35µm
net378,130.845µm
u_FIR.sum\[2\]\[15\],130.84µm
net48,130.64µm
net1013,130.53µm
net1029,130.515µm
net532,130.285µm
_06921_,130.21µm
net550,130.05µm
net158,130.015µm
net271,129.795µm
net154,129.555µm
net591,129.525µm
_02897_,129.495µm
net826,129.245µm
_03267_,129.015µm
_07757_,128.965µm
u_debug_unit.mon_w3_sync\[4\],128.76µm
_03489_,128.65µm
net171,128.52µm
_03068_,128.49µm
net688,128.455µm
_03463_,128.375µm
net982,128.06µm
net15,128.005µm
net6,127.95µm
_03062_,127.935µm
_04217_,127.765µm
clknet_leaf_46_clkA,127.64µm
net621,127.62µm
net660,127.39µm
net988,127.35µm
u_FIR.w\[4\]\[1\],127.33µm
